Assembly ID	BioProject ID	BioSample ID	Taxonomy ID	#Markers	Reason
7508	16044	0	1351	N/A	low quality
8768	15918	0	1280	N/A	low quality
9508	16005	0	1358	N/A	low quality
9628	17933	0	38294	N/A	low quality
9648	17931	0	38294	N/A	low quality
11168	17977	0	387662	N/A	low quality
11268	18801	0	426430	N/A	low quality
11328	19267	0	438753	N/A	low quality
16828	19113	0	29486	N/A	low quality
18148	28025	0	452803	N/A	low quality
18168	28023	0	452802	N/A	low quality
18188	28027	0	452804	N/A	low quality
18968	20733	0	475609	N/A	low quality
21908	31349	0	563770	N/A	low quality
22308	32135	0	573234	N/A	low quality
22388	32773	0	562	N/A	low quality
26248	35037	0	264203	N/A	low quality
27268	16085	0	1005048	N/A	low quality
27428	30981	0	1280	N/A	low quality
27588	32367	0	813	N/A	low quality
27608	32369	0	580049	N/A	low quality
27628	32371	0	813	N/A	low quality
27648	32373	0	813	N/A	low quality
27668	32375	0	813	N/A	low quality
27688	32377	0	813	N/A	low quality
112238	19063	0	431944	N/A	low quality
165498	33197	0	875330	N/A	low quality
169148	33209	0	629262	N/A	low quality
169158	33211	0	629263	N/A	low quality
169208	33221	0	629268	N/A	low quality
178158	16739	0	384035	N/A	low quality
197338	33695	0	591153	N/A	low quality
202618	6	0	272627	N/A	low quality
203598	13364	0	77038	N/A	low quality
204838	16198	0	374675	N/A	low quality
205218	17297	0	393116	N/A	low quality
205338	17303	0	393119	N/A	low quality
205818	17329	0	393132	N/A	low quality
205938	16744	0	394104	N/A	low quality
208378	19525	0	322866	N/A	low quality
209238	19509	0	441161	N/A	low quality
209658	19081	0	447454	N/A	low quality
209698	19083	0	447455	N/A	low quality
209778	18685	0	422288	N/A	low quality
209818	18683	0	422289	N/A	low quality
210798	18333	0	278957	N/A	low quality
211278	20115	0	456482	N/A	low quality
212698	28543	0	499171	N/A	low quality
212738	28545	0	499172	N/A	low quality
212998	27797	0	482628	N/A	low quality
213638	29555	0	526950	N/A	low quality
213678	29557	0	526949	N/A	low quality
213718	29559	0	538025	N/A	low quality
213758	29561	0	526947	N/A	low quality
213798	29563	0	526946	N/A	low quality
213838	29565	0	526945	N/A	low quality
217418	7	0	593452	N/A	low quality
217898	37861	0	452680	N/A	low quality
221658	41499	0	637912	N/A	low quality
227638	28289	0	497977	N/A	low quality
227718	28293	0	497975	N/A	low quality
227798	28299	0	497973	N/A	low quality
227838	28301	0	496068	N/A	low quality
227958	28307	0	496065	N/A	low quality
237758	42847	0	702458	N/A	low quality
237778	42849	0	702457	N/A	low quality
237798	42851	0	702456	N/A	low quality
237838	42855	0	702454	N/A	low quality
237878	42861	0	702452	N/A	low quality
241338	60111	0	927193	N/A	low quality
242828	49905	0	880632	N/A	low quality
246868	441	0	238030	N/A	low quality
252138	46259	0	741161	N/A	low quality
257198	16047	0	1086030	N/A	low quality
258598	50381	0	1641	N/A	low quality
266698	63555	0	994837	N/A	low quality
266708	63557	0	994838	N/A	low quality
272278	20229	0	459420	N/A	low quality
273938	60781	0	933950	N/A	low quality
291188	67831	0	1041939	N/A	low quality
291198	67829	0	1041938	N/A	low quality
292338	53211	0	891398	N/A	low quality
293378	51617	0	434085	N/A	low quality
294408	52647	1940911	889948	N/A	low quality
294418	52645	1940911	889962	N/A	low quality
295008	64727	0	997347	N/A	low quality
295158	68831	0	1053648	N/A	low quality
295288	61103	0	935294	N/A	low quality
305788	72669	0	1079984	N/A	low quality
305798	72671	0	1079985	N/A	low quality
315368	28061	0	488477	N/A	low quality
316958	41987	0	693991	N/A	low quality
319388	71229	0	1072681	N/A	low quality
339708	74175	0	1049776	N/A	low quality
349448	72043	0	1074150	N/A	low quality
350308	65057	0	1001594	N/A	low quality
350468	73025	0	487528	N/A	low quality
350568	59705	0	913073	N/A	low quality
350608	59701	0	913071	N/A	low quality
350628	59695	0	913063	N/A	low quality
350648	59719	0	913082	N/A	low quality
350668	59709	0	913077	N/A	low quality
350708	59725	0	913086	N/A	low quality
350728	59707	0	913075	N/A	low quality
350808	59717	0	913081	N/A	low quality
350828	59711	0	913078	N/A	low quality
350848	59723	0	913084	N/A	low quality
350888	62113	0	947828	N/A	low quality
350948	67657	0	1038844	N/A	low quality
350968	59697	0	913241	N/A	low quality
351028	62545	0	987057	N/A	low quality
351088	73023	0	487527	N/A	low quality
351188	41647	0	691158	N/A	low quality
361888	68425	0	1051075	N/A	low quality
373268	84391	0	391967	N/A	low quality
373328	84269	0	1149863	N/A	low quality
374328	68079	0	1046593	N/A	low quality
379478	158725	0	1159328	N/A	low quality
389298	49157	0	311458	N/A	low quality
394508	162635	0	1182263	N/A	low quality
411418	165179	0	1202536	N/A	low quality
411438	165183	0	1202537	N/A	low quality
411458	165187	0	1202538	N/A	low quality
411478	165189	0	1202539	N/A	low quality
411498	165191	0	1202540	N/A	low quality
411968	76773	0	1123866	N/A	low quality
411978	76775	0	1123867	N/A	low quality
415528	66359	0	1032868	N/A	low quality
