Clade ID	Taxonomy ID	BioProject ID	BioSample ID	Assembly ID	Nucleotide accession(s)
     20698	     59374	     32617	         0	     25468	CP001792
     20698	     59374	        47	         0	    169038	CP002158
     20699	    903818	     53485	         0	    329378	AGSB
     20700	    981222	     62457	         0	    304398	CP002514,CP002515
     20701	    234267	     12638	         0	     15708	CP000473
     20702	    204669	     15771	         0	     14808	CP000360
     20703	    240015	     28085	         0	     23368	CP001472
     20704	    401053	     48971	    100755	    241418	CP002467
     20705	    682795	     47903	         0	    318208	CP003130
     20706	   1198114	     47621	     13395	    242888	CP002480
     21366	    926566	     63509	         0	    383668	CP003379
     22112	   1047061	    192321	         0	    588828	AQPI
     22113	   1047055	    192291	         0	    696968	ASZK
     22114	    939857	    192361	         0	    694108	AQSI
     22115	   1007124	    192362	         0	    694128	AQSH
     22115	   1007122	    192387	         0	    694248	AQSB
     22115	   1007123	    192388	         0	    694268	AQSA
     22116	   1267535	    183354	         0	    607258	ARMF
     22117	   1267533	    183352	         0	    607238	ARMD
     22118	   1267534	    183353	         0	    607248	ARME
     22119	    278963	    190839	         0	    729468	ATWD
